concert_name,concert_date,concert_time,artist,venue,venue_address,cost,created_at,updated_at
"Newport Music Festival presents","Thursday, July 13, 2017","11:00 am","Clemens Teufel, piano","Various Mansions","Newport",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Newport Music Festival presents","Thursday, July 13, 2017","7:00 pm","Chamber Music","Various Mansions","Newport",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Aston Magna (W) presents","Thursday, July 13, 2017","7:00 pm","Chamber Music","Slosberg Recital Hall","415 South Street, Waltham",45.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Metropolitan Wind Symphony presents","Thursday, July 13, 2017","7:30 pm","MetWinds Band Concerts in the Park","National Heritage Museum","33 Marrett Road, Lexington, MA",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Yellow Barn presents","Thursday, July 13, 2017","8:00 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",18.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Bowdoin International Music Festival (CT) presents","Friday, July 14, 2017","7:30 pm","Chamber Music","Croocker Theater","Brunswick",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Newport Music Festival presents","Friday, July 14, 2017","8:00 pm","Chamber Music","Various Mansions","Newport",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Friday, July 14, 2017","8:00 pm","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Yellow Barn presents","Friday, July 14, 2017","8:00 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",25.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, July 15, 2017","10:30 am","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Aston Magna (SJP) presents","Saturday, July 15, 2017","6:00 pm","Chamber Music","Saint James Place","352 Main Street, Great Barrington",45.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Mohawk Trails Concerts presents","Saturday, July 15, 2017","7:30 pm","Matt Haimovitz, cello, and Estela Olevsky, piano","Federated Church","Charlemont",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Ellingwood Chapel Concert Series (EC) presents","Saturday, July 15, 2017","8:00 pm","Fin de Siècle","Ellingwood Chapel","195 Nahant Rd., Nahant",25.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, July 15, 2017","8:00 pm","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Yellow Barn presents","Saturday, July 15, 2017","8:00 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",25.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Mercury Orchestra presents","Saturday, July 15, 2017","8:00 pm","Mercury Orchestra","Sanders Theatre","45 Quincy Street, Cambridge",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Sunday, July 16, 2017","2:30 pm","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
